site_uid	site_name	collection_location	country	iso3c	lat_n	lon_e	google_lat_long_site	coords_source	site_study_type	pretreatment_samples	study_design_age_min_years	study_design_age_max_years	study_design_sex
sankuru_b	sankuru_b	sankuru_b	DRC	COD	-3.680731	23.766128				pre_treatment			
maniema_d	maniema_d	maniema_d	DRC	COD	-3.750768	26.619768				pre_treatment			
kwilu_c	kwilu_c	kwilu_c	DRC	COD	-4.059344	16.957174				pre_treatment			
mongala_f	mongala_f	mongala_f	DRC	COD	2.14582	21.496846				pre_treatment			
kasai_central_d	kasai_central_d	kasai_central_d	DRC	COD	-5.898041	22.4068				pre_treatment			
kinshasa_l	kinshasa_l	kinshasa_l	DRC	COD	-4.34853	15.219063				pre_treatment			
ituri_k	ituri_k	ituri_k	DRC	COD	3.131157	30.525091				pre_treatment			
kasai_oriental_b	kasai_oriental_b	kasai_oriental_b	DRC	COD	-6.493681	23.733355				pre_treatment			
maniema_e	maniema_e	maniema_e	DRC	COD	-4.296087	27.10225				pre_treatment			
haut_lomami_c	haut_lomami_c	haut_lomami_c	DRC	COD	-9.210254	25.856459				pre_treatment			
maniema_f	maniema_f	maniema_f	DRC	COD	-3.923926	25.91257				pre_treatment			
sud_ubangi_e	sud_ubangi_e	sud_ubangi_e	DRC	COD	3.64095	18.647154				pre_treatment			
kinshasa_m	kinshasa_m	kinshasa_m	DRC	COD	-4.398045	15.412567				pre_treatment			
lomami_j	lomami_j	lomami_j	DRC	COD	-6.117369	24.536887				pre_treatment			
mongala_g	mongala_g	mongala_g	DRC	COD	1.984013	22.176322				pre_treatment			
nord_ubangi_g	nord_ubangi_g	nord_ubangi_g	DRC	COD	4.180821	19.437368				pre_treatment			
kongo_central_h	kongo_central_h	kongo_central_h	DRC	COD	-4.646289	15.401195				pre_treatment			
kasai_oriental_c	kasai_oriental_c	kasai_oriental_c	DRC	COD	-6.249079	23.150668				pre_treatment			
lualaba_b	lualaba_b	lualaba_b	DRC	COD	-10.460888	22.405265				pre_treatment			
kongo_central_i	kongo_central_i	kongo_central_i	DRC	COD	-5.807474	13.058311				pre_treatment			
haut_uele_e	haut_uele_e	haut_uele_e	DRC	COD	3.665857	30.338905				pre_treatment			
haut_uele_f	haut_uele_f	haut_uele_f	DRC	COD	3.310352	30.233334				pre_treatment			
kasai_oriental_d	kasai_oriental_d	kasai_oriental_d	DRC	COD	-6.024498	23.714294				pre_treatment			
sud_kivu_b	sud_kivu_b	sud_kivu_b	DRC	COD	-2.898634	27.258285				pre_treatment			
lualaba_c	lualaba_c	lualaba_c	DRC	COD	-10.000968	25.845801				pre_treatment			
bas_uele_c	bas_uele_c	bas_uele_c	DRC	COD	3.372493	23.895969				pre_treatment			
kwango_b	kwango_b	kwango_b	DRC	COD	-4.803524	17.038616				pre_treatment			
tshuapa_c	tshuapa_c	tshuapa_c	DRC	COD	-0.60176	22.29308				pre_treatment			
kasai_central_e	kasai_central_e	kasai_central_e	DRC	COD	-5.940808	22.336926				pre_treatment			
mai_ndombe_g	mai_ndombe_g	mai_ndombe_g	DRC	COD	-1.741311	17.575339				pre_treatment			
kongo_central_j	kongo_central_j	kongo_central_j	DRC	COD	-4.9195	14.588221				pre_treatment			
sud_kivu_c	sud_kivu_c	sud_kivu_c	DRC	COD	-2.960349	28.527202				pre_treatment			
kwango_c	kwango_c	kwango_c	DRC	COD	-4.989615	16.544151				pre_treatment			
maniema_g	maniema_g	maniema_g	DRC	COD	-1.629035	27.109588				pre_treatment			
mai_ndombe_h	mai_ndombe_h	mai_ndombe_h	DRC	COD	-1.767085	18.450213				pre_treatment			
maniema_h	maniema_h	maniema_h	DRC	COD	-4.426708	26.673789				pre_treatment			
sankuru_c	sankuru_c	sankuru_c	DRC	COD	-3.549573	23.568131				pre_treatment			
maniema_i	maniema_i	maniema_i	DRC	COD	-4.585395	25.192503				pre_treatment			
lualaba_d	lualaba_d	lualaba_d	DRC	COD	-8.225004	22.370395				pre_treatment			
haut_lomami_d	haut_lomami_d	haut_lomami_d	DRC	COD	-8.852534	25.712294				pre_treatment			
kwango_d	kwango_d	kwango_d	DRC	COD	-7.415729	17.789887				pre_treatment			
nord_kivu_c	nord_kivu_c	nord_kivu_c	DRC	COD	-1.479445	28.107303				pre_treatment			
haut_lomami_e	haut_lomami_e	haut_lomami_e	DRC	COD	-7.828149	26.904022				pre_treatment			
kinshasa_n	kinshasa_n	kinshasa_n	DRC	COD	-4.377253	15.314786				pre_treatment			
tshopo_j	tshopo_j	tshopo_j	DRC	COD	0.980542	24.466548				pre_treatment			
mai_ndombe_i	mai_ndombe_i	mai_ndombe_i	DRC	COD	-1.909008	16.564669				pre_treatment			
kasai_d	kasai_d	kasai_d	DRC	COD	-6.535452	21.041913				pre_treatment			
haut_katanga_b	haut_katanga_b	haut_katanga_b	DRC	COD	-11.168176	26.887784				pre_treatment			
maniema_j	maniema_j	maniema_j	DRC	COD	-0.942305	26.996181				pre_treatment			
sud_kivu_d	sud_kivu_d	sud_kivu_d	DRC	COD	-2.616576	28.745179				pre_treatment			
sankuru_d	sankuru_d	sankuru_d	DRC	COD	-2.756775	22.592029				pre_treatment			
equateur_b	equateur_b	equateur_b	DRC	COD	-0.728697	18.13553				pre_treatment			
kwango_e	kwango_e	kwango_e	DRC	COD	-5.853857	16.182401				pre_treatment			
tanganyka_c	tanganyka_c	tanganyka_c	DRC	COD	-5.363081	27.151456				pre_treatment			
equateur_c	equateur_c	equateur_c	DRC	COD	0.529766	19.203205				pre_treatment			
kwango_f	kwango_f	kwango_f	DRC	COD	-6.981143	17.389399				pre_treatment			
tanganyka_d	tanganyka_d	tanganyka_d	DRC	COD	-7.297629	27.365167				pre_treatment			
maniema_k	maniema_k	maniema_k	DRC	COD	-2.961457	25.906777				pre_treatment			
kasai_e	kasai_e	kasai_e	DRC	COD	-6.142809	20.590944				pre_treatment			
tshopo_k	tshopo_k	tshopo_k	DRC	COD	0.807453	24.138116				pre_treatment			
kwango_g	kwango_g	kwango_g	DRC	COD	-5.852902	17.256013				pre_treatment			
haut_katanga_c	haut_katanga_c	haut_katanga_c	DRC	COD	-12.607145	29.552394				pre_treatment			
lomami_k	lomami_k	lomami_k	DRC	COD	-5.650048	25.705903				pre_treatment			
tshuapa_d	tshuapa_d	tshuapa_d	DRC	COD	-0.27912	20.888191				pre_treatment			
maniema_l	maniema_l	maniema_l	DRC	COD	-4.647497	27.192406				pre_treatment			
tanganyka_e	tanganyka_e	tanganyka_e	DRC	COD	-6.169799	27.561894				pre_treatment			
haut_katanga_d	haut_katanga_d	haut_katanga_d	DRC	COD	-12.254793	27.639081				pre_treatment			
tanganyka_f	tanganyka_f	tanganyka_f	DRC	COD	-6.19006	28.062627				pre_treatment			
nord_kivu_d	nord_kivu_d	nord_kivu_d	DRC	COD	0.506563	29.389011				pre_treatment			
tanganyka_g	tanganyka_g	tanganyka_g	DRC	COD	-5.721333	26.124481				pre_treatment			
bas_uele_d	bas_uele_d	bas_uele_d	DRC	COD	3.523941	25.724521				pre_treatment			
nord_kivu_e	nord_kivu_e	nord_kivu_e	DRC	COD	-1.601811	27.839532				pre_treatment			
lomami_l	lomami_l	lomami_l	DRC	COD	-6.999193	23.437199				pre_treatment			
maniema_m	maniema_m	maniema_m	DRC	COD	-2.938028	25.911308				pre_treatment			
kasai_central_f	kasai_central_f	kasai_central_f	DRC	COD	-6.497538	22.161436				pre_treatment			
kasai_central_g	kasai_central_g	kasai_central_g	DRC	COD	-5.858522	22.381992				pre_treatment			
lualaba_e	lualaba_e	lualaba_e	DRC	COD	-10.595031	22.373156				pre_treatment			
tanganyka_h	tanganyka_h	tanganyka_h	DRC	COD	-7.265548	26.751028				pre_treatment			
kasai_f	kasai_f	kasai_f	DRC	COD	-6.451841	21.324016				pre_treatment			
kasai_central_h	kasai_central_h	kasai_central_h	DRC	COD	-5.889153	22.37239				pre_treatment			
equateur_d	equateur_d	equateur_d	DRC	COD	-0.900372	18.747339				pre_treatment			
maniema_n	maniema_n	maniema_n	DRC	COD	-2.637821	26.427349				pre_treatment			
maniema_o	maniema_o	maniema_o	DRC	COD	-2.975202	25.943444				pre_treatment			
kasai_g	kasai_g	kasai_g	DRC	COD	-5.450361	21.119615				pre_treatment			
kasai_central_i	kasai_central_i	kasai_central_i	DRC	COD	-5.917018	22.388854				pre_treatment			
nord_ubangi_h	nord_ubangi_h	nord_ubangi_h	DRC	COD	3.362964	20.936229				pre_treatment			
kasai_oriental_e	kasai_oriental_e	kasai_oriental_e	DRC	COD	-6.10828	23.613792				pre_treatment			
kasai_oriental_f	kasai_oriental_f	kasai_oriental_f	DRC	COD	-6.105121	23.550671				pre_treatment			
maniema_p	maniema_p	maniema_p	DRC	COD	-1.470583	26.445709				pre_treatment			
kasai_oriental_g	kasai_oriental_g	kasai_oriental_g	DRC	COD	-6.110575	23.582889				pre_treatment			
maniema_q	maniema_q	maniema_q	DRC	COD	-3.870098	26.823649				pre_treatment			
kasai_oriental_h	kasai_oriental_h	kasai_oriental_h	DRC	COD	-6.138243	23.620752				pre_treatment			
kasai_h	kasai_h	kasai_h	DRC	COD	-4.8393	21.579257				pre_treatment			
bas_uele_e	bas_uele_e	bas_uele_e	DRC	COD	4.125512	22.833046				pre_treatment			
mai_ndombe_j	mai_ndombe_j	mai_ndombe_j	DRC	COD	-2.888884	18.55961				pre_treatment			
kasai_central_j	kasai_central_j	kasai_central_j	DRC	COD	-6.817362	22.241772				pre_treatment			
lomami_m	lomami_m	lomami_m	DRC	COD	-6.142448	24.48694				pre_treatment			
bas_uele_f	bas_uele_f	bas_uele_f	DRC	COD	3.717774	25.393793				pre_treatment			
haut_lomami_f	haut_lomami_f	haut_lomami_f	DRC	COD	-8.735631	24.984958				pre_treatment			
bas_uele_g	bas_uele_g	bas_uele_g	DRC	COD	3.180766	27.230437				pre_treatment			
tanganyka_i	tanganyka_i	tanganyka_i	DRC	COD	-6.718536	26.940184				pre_treatment			
mai_ndombe_k	mai_ndombe_k	mai_ndombe_k	DRC	COD	-3.238045	18.092393				pre_treatment			
maniema_r	maniema_r	maniema_r	DRC	COD	-4.437265	26.659182				pre_treatment			
ituri_l	ituri_l	ituri_l	DRC	COD	1.581031	30.250097				pre_treatment			
tshuapa_e	tshuapa_e	tshuapa_e	DRC	COD	-0.370282	22.222611				pre_treatment			
ituri_m	ituri_m	ituri_m	DRC	COD	2.274913	30.728031				pre_treatment			
haut_lomami_g	haut_lomami_g	haut_lomami_g	DRC	COD	-6.577556	25.74694				pre_treatment			
tshuapa_f	tshuapa_f	tshuapa_f	DRC	COD	-1.18653	23.234779				pre_treatment			
lomami_n	lomami_n	lomami_n	DRC	COD	-6.455369	25.029155				pre_treatment			
tanganyka_j	tanganyka_j	tanganyka_j	DRC	COD	-6.756766	29.477363				pre_treatment			
kasai_i	kasai_i	kasai_i	DRC	COD	-5.206358	21.430416				pre_treatment			
kinshasa_o	kinshasa_o	kinshasa_o	DRC	COD	-4.367844	15.292475				pre_treatment			
sud_kivu_e	sud_kivu_e	sud_kivu_e	DRC	COD	-3.264049	29.197709				pre_treatment			
nord_ubangi_i	nord_ubangi_i	nord_ubangi_i	DRC	COD	3.354521	20.872855				pre_treatment			
ituri_n	ituri_n	ituri_n	DRC	COD	2.857403	30.818843				pre_treatment			
nord_kivu_f	nord_kivu_f	nord_kivu_f	DRC	COD	-1.21853	29.556597				pre_treatment			
kasai_j	kasai_j	kasai_j	DRC	COD	-4.6058770000000004	20.637141				pre_treatment			
maniema_s	maniema_s	maniema_s	DRC	COD	-0.745404	26.587506				pre_treatment			
lualaba_f	lualaba_f	lualaba_f	DRC	COD	-9.963883	25.9725				pre_treatment			
kwilu_d	kwilu_d	kwilu_d	DRC	COD	-4.057142	19.02678				pre_treatment			
kasai_central_k	kasai_central_k	kasai_central_k	DRC	COD	-6.468398	22.849344				pre_treatment			
kwilu_e	kwilu_e	kwilu_e	DRC	COD	-5.724943	19.303174				pre_treatment			
sud_ubangi_f	sud_ubangi_f	sud_ubangi_f	DRC	COD	3.591133	19.994001				pre_treatment			
kongo_central_k	kongo_central_k	kongo_central_k	DRC	COD	-4.998205	12.952315				pre_treatment			
haut_katanga_e	haut_katanga_e	haut_katanga_e	DRC	COD	-11.026605	26.744662				pre_treatment			
haut_uele_g	haut_uele_g	haut_uele_g	DRC	COD	4.165098	27.541832				pre_treatment			
sankuru_e	sankuru_e	sankuru_e	DRC	COD	-4.872297	23.254479				pre_treatment			
sud_ubangi_g	sud_ubangi_g	sud_ubangi_g	DRC	COD	2.410489	18.899532				pre_treatment			
lomami_o	lomami_o	lomami_o	DRC	COD	-6.535502	23.832393				pre_treatment			
kongo_central_l	kongo_central_l	kongo_central_l	DRC	COD	-5.458829	13.719451				pre_treatment			
kasai_oriental_i	kasai_oriental_i	kasai_oriental_i	DRC	COD	-6.009008	23.364347				pre_treatment			
haut_katanga_f	haut_katanga_f	haut_katanga_f	DRC	COD	-10.859151	26.635812				pre_treatment			
kasai_central_l	kasai_central_l	kasai_central_l	DRC	COD	-5.373338	22.19076				pre_treatment			
kongo_central_m	kongo_central_m	kongo_central_m	DRC	COD	-5.464976	15.37009				pre_treatment			
nord_ubangi_j	nord_ubangi_j	nord_ubangi_j	DRC	COD	3.657505	22.571963				pre_treatment			
kongo_central_n	kongo_central_n	kongo_central_n	DRC	COD	-5.544237	14.659962				pre_treatment			
sud_kivu_f	sud_kivu_f	sud_kivu_f	DRC	COD	-4.665337	28.661735				pre_treatment			
tshuapa_g	tshuapa_g	tshuapa_g	DRC	COD	-0.597987	21.080837				pre_treatment			
maniema_t	maniema_t	maniema_t	DRC	COD	-4.616859	28.067729				pre_treatment			
nord_ubangi_k	nord_ubangi_k	nord_ubangi_k	DRC	COD	3.319467	20.329987				pre_treatment			
tshuapa_h	tshuapa_h	tshuapa_h	DRC	COD	-0.57472	21.981951				pre_treatment			
bas_uele_h	bas_uele_h	bas_uele_h	DRC	COD	3.020952	26.411668				pre_treatment			
kinshasa_p	kinshasa_p	kinshasa_p	DRC	COD	-4.326976	15.358809				pre_treatment			
kasai_central_m	kasai_central_m	kasai_central_m	DRC	COD	-6.543322	22.241999				pre_treatment			
