site_uid	site_name	collection_location	country	iso3c	lat_n	lon_e	google_lat_long_site	coords_source	site_study_type	pretreatment_samples	study_design_age_min_years	study_design_age_max_years	study_design_sex
misungwi_district_hospital	misungwi_district_hospital	misungwi_district_hospital	Tanzania	TZA	-2.84748	33.09533			health_facility	Y			both
unone_dispensary__kilosa_district_	unone_dispensary__kilosa_district_	unone_dispensary__kilosa_district_	Tanzania	TZA	-6.5959	37.0767			health_facility	Y			both
mkuzi_health_center	mkuzi_health_center	mkuzi_health_center	Tanzania	TZA	-5.24093	38.8287			health_facility	Y			both
mafia_district_hospital	mafia_district_hospital	mafia_district_hospital	Tanzania	TZA	-7.90806	39.66833			health_facility	Y			both
mkalamo_health_center	mkalamo_health_center	mkalamo_health_center	Tanzania	TZA	-5.80368	38.66722			health_facility	Y			both
mnazi_mmoja_health_center	mnazi_mmoja_health_center	mnazi_mmoja_health_center	Tanzania	TZA	-9.5949	39.4252			health_facility	Y			both
kisiju_health_center	kisiju_health_center	kisiju_health_center	Tanzania	TZA	-7.35925	39.28691			health_facility	Y			both
kibindu_health_center	kibindu_health_center	kibindu_health_center	Tanzania	TZA	-5.97237	37.92567			health_facility	Y			both
semembela_dispensary__nzega_district_	semembela_dispensary__nzega_district_	semembela_dispensary__nzega_district_	Tanzania	TZA	-4.32718	32.6662			health_facility	Y			both
mikanjuni_health_center	mikanjuni_health_center	mikanjuni_health_center	Tanzania	TZA	-5.09531	39.10649			health_facility	Y			both
nkindu_dispensary__nzega_district_	nkindu_dispensary__nzega_district_	nkindu_dispensary__nzega_district_	Tanzania	TZA	-4.465473	32.823521			health_facility	Y			both
kahama_district_hospital	kahama_district_hospital	kahama_district_hospital	Tanzania	TZA	-3.82614	32.59488			health_facility	Y			both
masoko	masoko	masoko	Tanzania	TZA	-8.92941	39.5148			health_facility	Y			both
kihonda_health_center	kihonda_health_center	kihonda_health_center	Tanzania	TZA	-6.80388	37.68008			health_facility	Y			both
ilekanilo_dispensary__sengerema_district_	ilekanilo_dispensary__sengerema_district_	ilekanilo_dispensary__sengerema_district_	Tanzania	TZA	-2.623741	32.74515			health_facility	Y			both
nyankumbu_health_center	nyankumbu_health_center	nyankumbu_health_center	Tanzania	TZA	-2.90613	32.23993			health_facility	Y			both
uhuru_health_center	uhuru_health_center	uhuru_health_center	Tanzania	TZA	-6.82517	37.66573			health_facility	Y			both
likombe_health_center	likombe_health_center	likombe_health_center	Tanzania	TZA	-10.2854	40.19666			health_facility	Y			both
mbande_dispensary	mbande_dispensary	mbande_dispensary	Tanzania	TZA	-6.98134	39.21298			health_facility	Y			both
kigamboni_health_center	kigamboni_health_center	kigamboni_health_center	Tanzania	TZA	-6.8274	39.31194			health_facility	Y			both
nyamisati_dispensary	nyamisati_dispensary	nyamisati_dispensary	Tanzania	TZA	-7.7849	39.2745			health_facility	Y			both
